year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2008,20/12/2008,Northbound,Heavy Vehicles,1,2,5,4,3,9,30,40,34,42,38,32,24,16,25,25,14,12,9,8,7,4,5,1,0,1
2008,20/12/2008,Southbound,All Vehicles,363,212,131,103,128,200,359,532,796,995,1286,1343,1452,1336,1276,1276,1230,1278,1239,932,605,576,584,579,0,1
2008,20/12/2008,Northbound,All Vehicles,237,127,88,56,87,163,539,700,970,1082,1172,1173,1193,1041,1020,1066,988,944,916,679,441,402,435,449,0,1
2008,21/12/2008,Northbound,Heavy Vehicles,,1,2,2,6,3,6,6,12,13,15,14,11,9,11,14,7,6,5,7,6,5,4,,0,1
2008,21/12/2008,Southbound,Heavy Vehicles,2,4,,3,2,7,5,9,9,16,14,14,11,12,13,10,7,11,5,8,2,5,1,4,0,1
2008,21/12/2008,Northbound,Light Vehicles,286,142,69,45,45,114,194,275,488,775,953,1017,1013,940,896,933,885,923,774,557,494,462,363,192,0,1
2008,21/12/2008,Southbound,Light Vehicles,370,174,128,76,81,116,196,334,426,747,907,1175,1272,1001,1115,994,1149,1225,1200,803,640,624,558,313,0,1
2008,21/12/2008,Northbound,All Vehicles,286,143,71,47,51,117,200,281,500,788,968,1031,1024,949,907,947,892,929,779,564,500,467,367,192,0,1
2008,21/12/2008,Southbound,All Vehicles,372,178,128,79,83,123,201,343,435,763,921,1189,1283,1013,1128,1004,1156,1236,1205,811,642,629,559,317,0,1
2008,22/12/2008,Northbound,Heavy Vehicles,,5,5,10,11,28,74,78,76,66,72,53,51,68,44,35,28,23,15,9,13,4,4,1,0,1
2008,22/12/2008,Northbound,Light Vehicles,101,56,23,42,78,270,1123,1839,2051,1551,1160,1165,1061,1051,993,1015,1061,1249,1034,690,412,467,357,199,0,1
2008,22/12/2008,Southbound,Light Vehicles,146,70,47,55,78,202,557,893,1076,1018,1092,1188,1258,1274,1347,1649,1861,2171,1797,1016,719,617,568,365,0,1
2008,22/12/2008,Southbound,Heavy Vehicles,1,2,4,5,16,11,34,43,38,50,54,58,59,57,80,62,48,41,32,12,8,8,12,4,0,1
2008,22/12/2008,Northbound,All Vehicles,101,61,28,52,89,298,1197,1917,2127,1617,1232,1218,1112,1119,1037,1050,1089,1272,1049,699,425,471,361,200,0,1
2008,22/12/2008,Southbound,All Vehicles,147,72,51,60,94,213,591,936,1114,1068,1146,1246,1317,1331,1427,1711,1909,2212,1829,1028,727,625,580,369,0,1
2008,23/12/2008,Southbound,Light Vehicles,174,87,65,51,80,204,561,906,1070,1073,1142,1271,1364,1353,1377,1543,1845,2039,1510,1067,700,635,648,420,0,1
2008,23/12/2008,Southbound,Heavy Vehicles,1,6,2,7,7,11,32,26,47,48,68,61,61,48,56,57,45,39,25,17,13,5,5,4,0,1
2008,23/12/2008,Northbound,Light Vehicles,60,32,14,27,52,139,602,944,1114,779,737,603,552,512,519,528,569,621,521,346,217,229,200,126,0,1
2008,23/12/2008,Northbound,Heavy Vehicles,,3,2,4,4,8,23,33,24,32,29,24,17,20,19,14,8,6,2,5,4,4,1,,0,1
2008,23/12/2008,Southbound,All Vehicles,175,93,67,58,87,215,593,932,1117,1121,1210,1332,1425,1401,1433,1600,1890,2078,1535,1084,713,640,653,424,0,1
2008,23/12/2008,Northbound,All Vehicles,60,35,16,31,56,147,625,977,1138,811,766,627,569,532,538,542,577,627,523,351,221,233,201,126,0,1
2008,24/12/2008,Northbound,Light Vehicles,49,33,15,21,42,104,367,638,810,634,530,555,566,385,591,510,451,424,363,280,186,175,194,132,0,1
2008,24/12/2008,Southbound,Light Vehicles,254,135,84,63,103,199,453,769,932,1012,1071,1240,1418,1492,1513,1486,1403,1218,1004,674,486,518,568,463,0,1
2008,24/12/2008,Southbound,Heavy Vehicles,4,5,5,13,3,20,22,29,40,44,38,42,51,44,32,28,25,24,10,9,2,4,5,3,0,1
2008,24/12/2008,Northbound,Heavy Vehicles,2,3,2,6,9,12,28,35,37,32,28,23,21,12,18,12,11,9,8,2,5,3,2,1,0,1
2008,24/12/2008,Northbound,All Vehicles,51,36,17,27,51,116,395,673,847,666,558,578,587,397,609,522,462,433,371,282,191,178,196,133,0,1
2008,24/12/2008,Southbound,All Vehicles,258,140,89,76,106,219,475,798,972,1056,1109,1282,1469,1536,1545,1514,1428,1242,1014,683,488,522,573,466,0,1
2008,28/12/2008,Northbound,Light Vehicles,85,31,8,15,10,33,69,105,186,341,423,428,438,383,401,341,315,306,266,179,176,162,130,91,0,1
2008,28/12/2008,Northbound,Heavy Vehicles,,1,1,1,,2,2,7,5,3,4,2,5,3,4,6,6,6,2,1,2,,3,,0,1
2008,28/12/2008,Southbound,Light Vehicles,196,121,112,60,63,98,154,213,363,549,657,868,944,849,837,902,1118,1151,935,694,586,553,502,283,0,1
2008,28/12/2008,Southbound,Heavy Vehicles,4,3,2,,2,4,5,7,6,6,8,6,8,8,11,9,6,8,8,2,4,1,4,,0,1
2008,28/12/2008,Northbound,All Vehicles,85,32,9,16,10,35,71,112,191,344,427,430,443,386,405,347,321,312,268,180,178,162,133,91,0,1
2008,28/12/2008,Southbound,All Vehicles,200,124,114,60,65,102,159,220,369,555,665,874,952,857,848,911,1124,1159,943,696,590,554,506,283,0,1
2009,4/01/2009,Northbound,Heavy Vehicles,3,2,3,3,3,2,4,8,3,8,9,6,5,9,11,9,5,8,5,1,2,3,3,1,0,1
2009,4/01/2009,Southbound,Heavy Vehicles,3,1,6,2,,6,2,7,6,4,7,6,5,7,14,8,8,8,10,4,6,7,2,4,0,1
2009,4/01/2009,Southbound,Light Vehicles,258,163,116,84,66,92,176,227,376,596,782,911,1024,938,969,928,1076,1178,1008,780,592,552,438,236,0,1
2009,4/01/2009,Northbound,Light Vehicles,174,90,46,19,50,78,155,200,335,647,744,940,907,912,757,784,730,718,629,434,332,355,257,169,0,1
2009,4/01/2009,Northbound,All Vehicles,177,92,49,22,53,80,159,208,338,655,753,946,912,921,768,793,735,726,634,435,334,358,260,170,0,1
2009,4/01/2009,Southbound,All Vehicles,261,164,122,86,66,98,178,234,382,600,789,917,1029,945,983,936,1084,1186,1018,784,598,559,440,240,0,1
2009,5/01/2009,Northbound,Light Vehicles,60,32,21,37,64,275,867,1569,2004,1114,833,820,741,762,741,762,827,1034,832,527,365,330,246,106,0,1
2009,5/01/2009,Southbound,Heavy Vehicles,1,3,1,4,8,16,19,24,41,41,42,58,52,43,49,38,27,27,15,12,6,8,2,7,0,1
2009,5/01/2009,Southbound,Light Vehicles,132,66,56,53,55,187,471,839,909,835,806,831,894,965,1068,1363,1561,2163,1625,824,558,485,408,267,0,1
2009,5/01/2009,Northbound,Heavy Vehicles,1,12,6,9,7,16,52,40,60,48,44,46,42,35,27,24,26,15,13,3,7,4,5,4,0,1
2009,5/01/2009,Northbound,All Vehicles,61,44,27,46,71,291,919,1609,2064,1162,877,866,783,797,768,786,853,1049,845,530,372,334,251,110,0,1
2009,5/01/2009,Southbound,All Vehicles,133,69,57,57,63,203,490,863,950,876,848,889,946,1008,1117,1401,1588,2190,1640,836,564,493,410,274,0,1
2009,6/01/2009,Northbound,Light Vehicles,78,38,17,35,58,258,929,1575,1993,1298,965,899,825,752,814,850,885,1126,916,560,432,371,289,184,0,1
2009,6/01/2009,Southbound,Heavy Vehicles,8,6,8,9,8,13,20,37,37,49,49,59,60,57,47,49,28,28,17,13,9,12,2,4,0,1
2009,6/01/2009,Southbound,Light Vehicles,135,72,59,37,57,209,511,825,1004,870,875,942,965,1058,1081,1453,1589,2195,1679,962,616,605,485,303,0,1
2009,6/01/2009,Northbound,Heavy Vehicles,11,8,12,8,7,17,47,57,54,63,49,53,36,40,40,21,26,19,17,5,7,2,4,10,0,1
